University_Name,Country_Rank,World_Rank
"Maulana Azad University, Jodhpur",875,12806
Maulana Mazharul Haque Arabic and Persian University,343,7885
Medi-Caps University,532,9330
Meenakshi Academy of Higher Education and Research,781,11285
Mewar University,446,8758
MGM Institute of Health Sciences,577,9627
MIT Art Design and Technology University,576,9625
MIT University,645,10153
Mizoram University,299,7518
Mody University of Science and Technology,413,8486
Mohammad Ali Jauhar University,733,10839
Mohanlal Sukhadia University,182,6133
Monad University,692,10562
Mother Teresa Women's University,500,9141
Motherhood University,861,12435
Motilal Nehru National Institute of Technology Allahabad,76,4314
MVN University,688,10473
Nagaland University,384,8261
Nalanda University,281,7331
NALSAR University of Law,187,6213
Nanaji Deshmukh Veterinary Science University,661,10263
Narendra Dev University of Agriculture and Technology,741,10864
Narsee Monjee Institute of Management and Higher Studies,7,1157
National Dairy Research Institute,331,7821
National Institute of Design,40,2984
National Institute of Educational Planning and Administration,178,6100
National Institute of Fashion Technology,50,3502
National Institute of Food Technology Entrepreneurship and Management,362,8065
National Institute of Mental Health and Neuro Sciences,79,4337
"National Institute of Pharmaceutical Education and Research, Ahmedabad",471,8927
"National Institute of Pharmaceutical Education and Research, Guwahati",668,10330
"National Institute of Pharmaceutical Education and Research, Hajipur",764,11062
"National Institute of Pharmaceutical Education and Research, Hyderabad",580,9644
"National Institute of Pharmaceutical Education and Research, Kolkata",820,11705
"National Institute of Pharmaceutical Education and Research, Rae Bareli",734,10841
"National Institute of Pharmaceutical Education and Research, S.A.S. Nagar",292,7462
"National Institute of Technology, Agartala",274,7236
"National Institute of Technology, Arunachal Pradesh",428,8574
"National Institute of Technology, Calicut",59,3798
"National Institute of Technology, Delhi",340,7871
"National Institute of Technology, Durgapur",199,6357
"National Institute of Technology, Goa",412,8482
"National Institute of Technology, Hamirpur",215,6499
"National Institute of Technology, Jamshedpur",176,6081
"National Institute of Technology, Karnataka",273,7232
"National Institute of Technology, Kurukshetra",149,5772
"National Institute of Technology, Manipur",470,8922
"National Institute of Technology, Meghalaya",377,8164
"National Institute of Technology, Mizoram",461,8868
"National Institute of Technology, Nagaland",518,9240
"National Institute of Technology, Patna",283,7392
"National Institute of Technology, Puducherry",425,8556
"National Institute of Technology, Raipur",234,6779
"National Institute of Technology, Rourkela",37,2907
"National Institute of Technology, Sikkim",485,8989
"National Institute of Technology, Silchar",134,5416
"National Institute of Technology, Srinagar",328,7799
"National Institute of Technology, Tiruchirappalli",41,2988
"National Institute of Technology, Uttarakhand",395,8356
"National Institute of Technology, Warangal",152,5792
National Law Institute University,393,8331
National Law School of India University,65,4085
National Law University and Judicial Academy,547,9402
National Law University Odisha,546,9401
"National Law University, Delhi",144,5611
"National Law University, Jodhpur",276,7244
National Sports University,852,12094
National University of Study and Research in Law,590,9697
Nava Nalanda Mahavihara,685,10463
Navrachana University,651,10177
Navsari Agricultural University,311,7651
Nehru Gram Bharati Vishwavidyalaya,707,10668
NIILM University,776,11245
NIIT University,285,7407
Nilamber-Pitamber University,717,10719
NIMS University,335,7842
Nirma University,69,4197
NITTE University,272,7214
Nizam's Institute of Medical Sciences,386,8286
Noida International University,506,9156
North East Frontier Technical University,834,11858
North Eastern Hill University,70,4203
North Eastern Regional Institute of Science and Technology,370,8131
North Orissa University,624,9987
O.P. Jindal Global University,138,5509
O.P. Jindal University,713,10708
Odisha University of Agriculture and Technology,284,7396
OPJS University,512,9193
Oriental University,665,10286
Osmania University,36,2881
P P Savani University,765,11077
P.K. University,869,12661
Pacific Medical University,854,12183
"Pacific University, India",544,9387
Padmashree Dr. D.Y. Patil Vidyapith,159,5906
Palamuru University,601,9763
Pandit Deendayal Petroleum University,174,6044
Pandit Deendayal Upadhyaya Shekhawati University,465,8890
Pandit Ravishankar Shukla University,361,8059
Panjab University,54,3684
Parul University,221,6597
Patna University,256,7086
PDM University,615,9917
"PDPM Indian Institute of Information Technology, Design and Manufacturing",351,7981
PEC University of Technology,536,9360
People's University,564,9474
Periyar Maniammai Institute of Science and Technology,522,9260
Periyar University,180,6118
PES University,172,6034
Plastindia International University,859,12432
Pondicherry University,55,3688
Ponnaiyan Ramajayam Institute of Science and Technology,594,9727
Poornima University,349,7973
Post Graduate Institute of Medical Education and Research,58,3778
Potti Sreeramulu Telugu University,578,9640
Pragyan International University,840,11985
Pratap University,787,11323
Pravara Institute of Medical Sciences,354,8023
Presidency University,146,5704
Presidency University,421,8535
Professor Jayashankar Telangana State Agricultural University,479,8951
Pt. Bhagwat Dayal Sharma University of Health Sciences,218,6539
Punjab Agricultural University,147,5730
Punjab Technical University,122,5131
Punjabi University Patiala,193,6323
"Punyashlok Ahilyadevi Holkar University, Solapur",247,6969
Quantum University,509,9164
Rabindra Bharati University,286,7408
Rabindranath Tagore University,551,9424
Raffles University,677,10381
Rai Technology University,847,12050
Rai University,552,9426
Raiganj University,768,11102
Raj Rishi Bharthari Matsya University,653,10192
Raja Mansingh Tomar Music and Arts University,751,10965
Rajasthan Technical University Kota,119,5040
Rajasthan University of Health Sciences,207,6452
Rajasthan University of Veterinary and Animal Sciences,356,8026
Rajiv Gandhi Institute of Petroleum Technology,183,6166
Rajiv Gandhi National Aviation University,833,11853
Rajiv Gandhi National Institute of Youth Development,435,8635
Rajiv Gandhi National University of Law,473,8932
Rajiv Gandhi Proudyogiki Vishwavidyalaya,102,4832
Rajiv Gandhi University,317,7678
Rajiv Gandhi University of Health Sciences,201,6379
Rajiv Gandhi University of Knowledge Technologies,368,8099
